store_name,date,price,sales,product_id,product_name,category,customer_id,customer_name,region,payment_method,discount,stock_quantity
"Santos, Rodriguez and Perry",24/10/2009,,,1,Notebook ,Roupas,5652,Beth Powell,RJ,Pix,,
"hernandez, phillips and hawkins",18/08/1994,,131.0,2,Chocolate!!,Roupas,3666,Cody Graves,SP,Cartão,23.33,22.0
"White, Gonzales and Miller Str.",1995-02-28,,-50.0,3,Smartphone!!,Alimentos,9035,denise johnson,RS,Cartão,20.03,88.0
tran and sons,2001-12-31 17:09:55,483.62,,4,Café ,Alimentos,2639,Joshua Ford,RS,cartao,14.83,
"hill, brady and patel",2024-04-13 19:58:25,,,5,Café ,Roupas,7581,Jeffery Maddox,SP,cartao,,
wright and sons,28/02/1984,-39.87,164.0,6,Camisa,Roupas,4508,Kaylee Carrillo DVM,RS,Boleto,20.79,97.0
Robinson and Sons Str.,30/03/2020,,116.0,7,Notebook!!,Eletrônicos,2284,Clarence Dean,SP,Pix,25.25,66.0
,30/07/1981,,,8,Notebook ,Eletrônicos,7505,Sophia Rivera,MG,cartao,,88.0
Chavez LLC,1984-12-09 17:15:13,276.35,85.0,9,Camisa,Eletrônicos,9573,pamela carlson,RJ,Cartão,15.28,42.0
Meyer-Thompson,2021-10-04 11:11:09,77.1,,10,Notebook,Eletrônicos,3534,jody murillo,MG,Boleto,,
Bentley-Long,15/03/1983,,22.0,11,Tênis,Eletrônicos,7482,michael adams,MG,Pix,,
"jones, mason and smith",24/03/2006,,,12,Smartphone ,Eletrônicos,7417,derek romero,MG,Boleto,,73.0
Stokes-Callahan,16/02/1971,,,13,Café ,Alimentos,7779,maria bruce,SP,cartao,2.67,
"Joseph, Miller and Curtis",1972-12-30,,-39.0,14,Smartphone!!,Alimentos,3613,Christopher Montgomery,RS,Boleto,15.41,78.0
"abbott, trujillo and pacheco",2002-11-28,427.34,,15,Tênis,Roupas,9862,Pamela Taylor,RS,Cartão,,40.0
Gilmore-Jackson Str.,1974-06-25 03:27:20,313.21,,16,Smartphone ,Alimentos,6295,Brittany Lyons,RJ,Boleto,,
smith and sons,10/04/2016,,11.0,17,Chocolate,Roupas,8376,jennifer hayes,BA,Boleto,,45.0
odonnell-collins,21/07/2008,45.79,17.0,18,Notebook,Alimentos,9087,christina ramirez,RS,cartao,29.1,57.0
Thomas Group,2020-03-10,,,19,Café ,Eletrônicos,3424,James Barber,RJ,Cartão,11.47,42.0
Burke-Buckley,1993-08-20 05:21:36,,,20,Chocolate ,Alimentos,5486,Stephen Parker,BA,cartao,2.11,
Adkins Inc,13/06/2005,-57.53,,21,Camisa ,Alimentos,1526,Paige Shepard,BA,Boleto,,96.0
"Wells, Rivera and Mcgee",30/12/2002,328.07,84.0,22,Café ,Roupas,7082,tyler baker,RJ,cartao,,-3.0
"jackson, taylor and guerrero",03/08/1997,,119.0,23,Tênis!!,Roupas,3661,Christina Hayes,SP,cartao,12.85,8.0
Nichols-Allison,1986-08-20,,171.0,24,Camisa!!,Alimentos,1747,Cameron Ramirez,MG,Cartão,,
Stevens-Lewis Str.,01/02/1981,-29.34,,25,Notebook,Eletrônicos,7066,Brian Nixon,SP,cartao,,
Moore and Sons Str.,1983-09-11,,,26,Chocolate,Alimentos,7623,Margaret Young,RJ,Cartão,23.09,
