store_name,date,price,sales,product_id,product_name,category,customer_id,customer_name,region,payment_method,discount,stock_quantity
"Santos, Rodriguez and Perry",24/10/2009,205.03250237868696,76.8211055276382,1,Notebook ,Roupas,5652,Beth Powell,RJ,Pix,10.58,48
"hernandez, phillips and hawkins",18/08/1994,205.03250237868696,131.0,2,Chocolate,Roupas,3666,Cody Graves,SP,Cartão,23.33,22
"White, Gonzales and Miller Store",28/02/1995,205.03250237868696,50.0,3,Smartphone,Alimentos,9035,denise johnson,RS,Cartão,20.03,88
tran and sons,31/12/2001,483.62,76.8211055276382,4,Caf ,Alimentos,2639,Joshua Ford,RS,cartao,14.83,48
"hill, brady and patel",13/04/2024,205.03250237868696,76.8211055276382,5,Caf ,Roupas,7581,Jeffery Maddox,SP,cartao,10.58,48
wright and sons,28/02/1984,39.87,164.0,6,Camisa,Roupas,4508,Kaylee Carrillo DVM,RS,Boleto,20.79,97
Robinson and Sons Store,30/03/2020,205.03250237868696,116.0,7,Notebook,Eletrônicos,2284,Clarence Dean,SP,Pix,25.25,66
Chavez LLC,09/12/1984,276.35,85.0,9,Camisa,Eletrônicos,9573,pamela carlson,RJ,Cartão,15.28,42
Meyer-Thompson,04/10/2021,77.1,76.8211055276382,10,Notebook,Eletrônicos,3534,jody murillo,MG,Boleto,10.58,48
Bentley-Long,15/03/1983,205.03250237868696,22.0,11,Tnis,Eletrônicos,7482,michael adams,MG,Pix,10.58,48
"jones, mason and smith",24/03/2006,205.03250237868696,76.8211055276382,12,Smartphone ,Eletrônicos,7417,derek romero,MG,Boleto,10.58,73
Stokes-Callahan,16/02/1971,205.03250237868696,76.8211055276382,13,Caf ,Alimentos,7779,maria bruce,SP,cartao,2.67,48
"Joseph, Miller and Curtis",30/12/1972,205.03250237868696,39.0,14,Smartphone,Alimentos,3613,Christopher Montgomery,RS,Boleto,15.41,78
"abbott, trujillo and pacheco",28/11/2002,427.34,76.8211055276382,15,Tnis,Roupas,9862,Pamela Taylor,RS,Cartão,10.58,40
Gilmore-Jackson Store,25/06/1974,313.21,76.8211055276382,16,Smartphone ,Alimentos,6295,Brittany Lyons,RJ,Boleto,10.58,48
smith and sons,10/04/2016,205.03250237868696,11.0,17,Chocolate,Roupas,8376,jennifer hayes,BA,Boleto,10.58,45
odonnell-collins,21/07/2008,45.79,17.0,18,Notebook,Alimentos,9087,christina ramirez,RS,cartao,29.1,57
Thomas Group,10/03/2020,205.03250237868696,76.8211055276382,19,Caf ,Eletrônicos,3424,James Barber,RJ,Cartão,11.47,42
Burke-Buckley,20/08/1993,205.03250237868696,76.8211055276382,20,Chocolate ,Alimentos,5486,Stephen Parker,BA,cartao,2.11,48
Adkins Inc,13/06/2005,57.53,76.8211055276382,21,Camisa ,Alimentos,1526,Paige Shepard,BA,Boleto,10.58,96
"Wells, Rivera and Mcgee",30/12/2002,328.07,84.0,22,Caf ,Roupas,7082,tyler baker,RJ,cartao,10.58,3
"jackson, taylor and guerrero",03/08/1997,205.03250237868696,119.0,23,Tnis,Roupas,3661,Christina Hayes,SP,cartao,12.85,8
Nichols-Allison,20/08/1986,205.03250237868696,171.0,24,Camisa,Alimentos,1747,Cameron Ramirez,MG,Cartão,10.58,48
Stevens-Lewis Store,01/02/1981,29.34,76.8211055276382,25,Notebook,Eletrônicos,7066,Brian Nixon,SP,cartao,10.58,48
Moore and Sons Store,11/09/1983,205.03250237868696,76.8211055276382,26,Chocolate,Alimentos,7623,Margaret Young,RJ,Cartão,23.09,48
"miller, brewer and hunt",09/04/1979,205.03250237868696,76.8211055276382,27,Tnis,Roupas,8304,ian allison,BA,Pix,10.58,48
"krueger, harvey and white",29/11/2010,32.83,76.8211055276382,28,Chocolate,Eletrônicos,8114,charles garcia,BA,Boleto,5.05,73
Serrano LLC Store,07/07/2000,428.49,76.8211055276382,29,Tnis ,Eletrônicos,1410,belinda scott,MG,Cartão,10.58,75
Cox-Schmidt Store,07/12/2013,18.93,76.8211055276382,30,Tnis ,Eletrônicos,9802,Julia Miles,RJ,Pix,10.58,48
